Cód.,Bairro,Domicílios - Total,Domicílios - 1 morador,Domicílios - casa,Domicílios - apartamento,Domicílios ocupação - Próprio,Domicílios ocupação- alugado,Rede geral de esgoto ou pluvial,Lixo Coletado,Média de moradores domicílios,Residente – Total,Residente - não pensionista,10+ anos- Total,10+ anos – alfabetizadas,10+ anos – Taxa de alfabetização,5+ anos – total,5+ anos – alfabetizadas,Rendimento médio mensal dos domicílios (Reais),rendimento mediano mensal dos domicílios (Reais),Rendimento médio mensal 10+ anos,Rendimento mediano mensal 10+ anos,Domicílios até 1 salário mínimo (Unidades),Domicílios até 15+ salário mínimo (Unidades),Domicílios  sem rendimentos (Unidades),Residentes – Homens,Residentes – Mulheres,Residentes – 0 a 9 anos,Residentes – 10 a 19 anos,Residentes – 20 a 29 anos,Residentes – 30 a 39 anos,Residentes – 40 a 49 anos,Residentes – 50 a 59 anos ,Residentes – 60 a 69 anos ,Residentes – 70 ou mais
3205002013,Enseada de Jacaraípe - Serra,327,33,325,-,244,63,20,325,3.36,1098,1096,929,887,95.48,1016,948,1997.7,1510,1094.09,700,45,7,5,543,555,169,200,187,167,171,105,62,37
3205002014,São Francisco - Serra,648,76,602,44,426,158,38,647,3.22,2086,2078,1785,1739,97.42,1930,1868,2596.88,1850,1443.48,956,47,35,10,1025,1061,301,370,369,335,312,224,112,63
3205002015,Bairro das Laranjeiras - Serra,4080,480,3675,180,2481,1271,3360,4006,3.3,13502,13452,11314,10657,94.19,12393,11364,1939.78,1310,1107,650,588,105,129,6668,6834,2188,2562,2695,2087,1715,1273,560,422
3205002016,Lagoa Jacaraípe - Serra,498,63,482,1,386,72,2,471,3.3,1645,1643,1335,1248,93.48,1490,1336,1469.32,1200,875.95,630,81,2,18,821,824,310,291,306,255,195,153,88,47
3205002017,Residencial Jacaraípe - Serra,1251,155,1221,25,932,230,287,1180,3.53,4419,4412,3530,3259,92.32,3969,3485,1484.81,1110,897.8,600,207,11,52,2225,2194,889,948,779,685,504,360,155,99
3205002018,Costa Dourada - Serra,369,37,362,6,265,78,106,366,3.59,1325,1324,1062,1003,94.44,1195,1118,1349.13,1042,785,550,65,1,6,667,658,263,285,230,219,166,104,33,25
3205002019,Jardim Atlântico - Serra,937,92,841,95,610,269,850,931,3.31,3099,3090,2706,2622,96.9,2923,2784,3363.37,2200,1771.78,1000,65,76,10,1491,1608,393,523,565,516,414,351,189,148
3205002020,Belvedere - Serra,256,48,255,1,201,20,11,125,3.26,835,835,651,535,82.18,741,584,891.55,800,620.21,510,84,1,10,416,419,184,146,139,137,94,67,40,28
3205002021,Estância Monazítica - Serra,618,115,350,261,318,249,598,616,2.74,1694,1690,1509,1490,98.74,1598,1562,3754.79,2775,2212.21,1500,18,64,8,823,871,185,211,311,281,227,253,148,78
3205002022,São Patrício - Serra,384,47,363,3,261,109,89,384,3.21,1232,1231,1036,1020,98.46,1139,1105,2212.99,1800,1263.88,900,34,10,19,594,638,196,204,242,232,156,118,68,16
