Cód.,Município,Bairro,pred
3205200054,VILA VELHA,VILA BATISTA,2
3205200055,VILA VELHA,VILA GARRIDO,0
3205200056,VILA VELHA,ZUMBI DOS PALMARES,2
3205200057,VILA VELHA,COBILÂNDIA,0
3205200058,VILA VELHA,ALECRIM,0
3205200059,VILA VELHA,ALVORADA,0
3205200060,VILA VELHA,COBI DE BAIXO,2
3205200061,VILA VELHA,COBI DE CIMA,2
3205200062,VILA VELHA,INDUSTRIAL,2
3205200063,VILA VELHA,JARDIM DO VALE,2
3205200064,VILA VELHA,JARDIM MARILÂNDIA,0
3205200065,VILA VELHA,NOVA AMÉRICA,2
3205200066,VILA VELHA,PLANALTO,2
3205200067,VILA VELHA,RIO MARINHO,0
3205200068,VILA VELHA,SANTA CLARA,2
3205200069,VILA VELHA,SÃO TORQUATO,0
3205200070,VILA VELHA,VALE ENCANTADO,0
3205200071,VILA VELHA,BARRA DO JUCU,2
3205200072,VILA VELHA,BALNEÁRIO PONTA DA FRUTA,2
3205200073,VILA VELHA,BARRAMARES,0
3205200074,VILA VELHA,CIDADE DA BARRA,2
3205200075,VILA VELHA,INTERLAGOS,2
3205200076,VILA VELHA,JABAETÉ,2
3205200077,VILA VELHA,JOÃO GOULART,2
3205200078,VILA VELHA,MORADA DA BARRA,2
3205200079,VILA VELHA,MORADA DO SOL,2
3205200080,VILA VELHA,MORRO DA LAGOA,2
3205200081,VILA VELHA,NORMÍLIA DA CUNHA,2
3205200082,VILA VELHA,NOVA PONTA DA FRUTA,2
3205200083,VILA VELHA,PONTA DA FRUTA,2
3205200084,VILA VELHA,PRAIA DOS RECIFES,2
3205200085,VILA VELHA,RIVIERA DA BARRA,0
3205200086,VILA VELHA,SANTA PAULA I,2
3205200087,VILA VELHA,SANTA PAULA II,2
3205200088,VILA VELHA,SÃO CONRADO,2
3205200089,VILA VELHA,TERRA VERMELHA,0
3205200090,VILA VELHA,ULISSES GUIMARÃES,0
3205200091,VILA VELHA,VINTE E TRÊS DE MAIO,2
3205309001,VITÓRIA,CENTRO,1
3205309002,VITÓRIA,DO MOSCOSO,2
3205309003,VITÓRIA,FONTE GRANDE,2
3205309004,VITÓRIA,FORTE SÃO JOÃO,2
3205309005,VITÓRIA,PARQUE MOSCOSO,2
3205309006,VITÓRIA,PIEDADE,2
3205309007,VITÓRIA,SANTA CLARA,2
3205309008,VITÓRIA,VILA RUBIM,0
3205309009,VITÓRIA,ARIOVALDO FAVALESSA,2
3205309010,VITÓRIA,BELA VISTA,2
3205309011,VITÓRIA,CARATOÍRA,2
3205309012,VITÓRIA,DO CABRAL,2
3205309013,VITÓRIA,DO QUADRO,2
3205309014,VITÓRIA,ESTRELINHA,2
3205309015,VITÓRIA,GRANDE VITÓRIA,2
3205309016,VITÓRIA,ILHA DO PRÍNCIPE,2
3205309017,VITÓRIA,INHANGUETÁ,2
3205309018,VITÓRIA,MÁRIO CYPRESTE,2
3205309019,VITÓRIA,SANTO ANTÔNIO,0
3205309020,VITÓRIA,SANTA TEREZA,2
3205309021,VITÓRIA,UNIVERSITÁRIO,2
3205309022,VITÓRIA,BENTO FERREIRA,0
3205309023,VITÓRIA,CONSOLAÇÃO,2
3205309024,VITÓRIA,CRUZAMENTO,2
3205309025,VITÓRIA,DE LOURDES,2
3205309026,VITÓRIA,FRADINHOS,2
3205309027,VITÓRIA,GURIGICA,2
3205309028,VITÓRIA,HORTO,2
3205309029,VITÓRIA,ILHA DE SANTA MARIA,2
3205309030,VITÓRIA,JESUS DE NAZARETH,2
3205309031,VITÓRIA,JUCUTUQUARA,2
3205309032,VITÓRIA,MONTE BELO,2
3205309033,VITÓRIA,NAZARETH,2
3205309034,VITÓRIA,ROMÃO,2
3205309035,VITÓRIA,ANDORINHAS,2
3205309036,VITÓRIA,BONFIM,2
3205309037,VITÓRIA,DA PENHA,2
3205309038,VITÓRIA,ITARARÉ,0
3205309039,VITÓRIA,JOANA D'ARC,2
3205309040,VITÓRIA,MARUÍPE,0
3205309041,VITÓRIA,SANTA CECÍLIA,2
3205309042,VITÓRIA,SANTA MARTHA,2
3205309043,VITÓRIA,SANTOS DUMONT,2
3205309044,VITÓRIA,SÃO BENEDITO,2
3205309045,VITÓRIA,SÃO CRISTOVÃO,2
